source_id,priority,title,variant,provider,source_url,access_date,rights_status,acquisition_status,original_or_commentary,production_use,notes
SRC-YHZP-001,P0,淵海子平,Traditional Chinese text and EPUB export,Wikisource,https://zh.wikisource.org/wiki/%E6%B7%B5%E6%B5%B7%E5%AD%90%E5%B9%B3,2026-07-18,CC-BY-SA-3.0-and-GFDL-export-terms,local_export_acquired_but_source_rejected,original-compilation,blocked,"The acquired EPUB is structurally valid but reproduces the page's explicit warning 此作品來源不明; no scan or library base is linked."
SRC-SMTH-001,P0,三命通會,Generic index and nine subpages,Wikisource,https://zh.wikisource.org/wiki/%E4%B8%89%E5%91%BD%E9%80%9A%E6%9C%83,2026-07-18,PD-old-and-CC-BY-SA-4.0-site-license,candidate_rejected_incomplete,original-compilation,blocked,"The index explicitly says volumes 10 through 12 are missing; superseded by SRC-SMTH-SKQS-001."
SRC-SMTH-SKQS-001,P0,三命通會,四庫全書本十二卷,Wikisource,https://zh.wikisource.org/wiki/%E4%B8%89%E5%91%BD%E9%80%9A%E6%9C%83_(%E5%9B%9B%E5%BA%AB%E5%85%A8%E6%9B%B8%E6%9C%AC),2026-07-18,PD-old-and-CC-BY-SA-4.0-site-license,sample_collation_passed,original-compilation,approved_for_passage_level_extraction,"Complete 12-volume structure paired with SRC-SMTH-SCAN-ZJU-001; title, catalog note, and a body passage in volume 1 passed visual comparison. Every extracted passage still requires page-level verification."
SRC-SMTH-SCAN-ZJU-001,P0,三命通會,欽定四庫全書影印古籍十二冊,Internet Archive / Zhejiang University Library,https://archive.org/details/06056477.cn,2026-07-18,public-domain-original-digital-scan-rights-not-explicit,candidate_verified_catalog_and_coverage,scan-witness,approved_as_scan_witness,"Zhejiang University Library is the recorded contributor; identifiers 06056477.cn through 06056488.cn cover volumes 1 through 12. Internet Archive metadata has no explicit license URL; use as a visual witness and do not redistribute."
SRC-ZPZQ-001,P0,子平真詮,Original text within a community-edited 評注 entry,Chinese Text Project,https://ctext.org/wiki.pl?if=gb&res=631975,2026-07-18,site-content-copyright-and-item-rights-review-required,candidate_rejected_no_base,original_plus_commentary,blocked,"CText records 沈孝瞻 and Qing period but marks the electronic base edition 暫缺; do not ingest or bulk-download."
SRC-ZPZQ-NLC-001,P0,子平真詮,秘本影印合订本,Wikimedia Commons / NLC catalog identifier,https://commons.wikimedia.org/wiki/File:NLC416-11jh010455-35296_%E5%AD%90%E5%B9%B3%E7%9C%9F%E8%A9%AE.pdf,2026-07-18,commons-item-license-live-verification-pending,local_scan_segmented_and_visually_checked,original_plus_later_appendices,approved_as_segmented_scan_witness_pending_second_witness,"287-page image-only combined scan. PDF 1 is common title; 2-121 are 子平真詮; 122-158 are 中華民國偉人星命錄; 159-286 are 新增萬年書; 287 is a scan tail marker. A second witness is required before rule extraction."
SRC-DTS-001,P0,滴天髓,滴天髓輯要 with 42 transcluded sections,Wikisource,https://zh.wikisource.org/wiki/%E6%BB%B4%E5%A4%A9%E9%AB%93,2026-07-18,CC-BY-SA-4.0-site-license-item-public-domain-review-pending,candidate_recension_identified,original_or_short_recension,blocked_pending_base_scan,"The page identifies the text as 滴天髓輯要 and attributes compilation to 陳之遴; a scan or cataloged base edition is still required."
SRC-QTBJ-001,P0,窮通寶鑑,,,,,public-domain-original-modern-edition-rights-unknown,original_source_not_located,original_or_later_title,blocked,"An annotated 1937 scan was acquired as SRC-QTBJ-XU-NLC-001, but a clean original or earlier recension is still required; continue searches for 欄江網 and 造化元鑰."
SRC-QTBJ-XU-NLC-001,P1,窮通寶鑑評註,東海樂吾氏評註六卷,Wikimedia Commons / NLC catalog identifier,https://commons.wikimedia.org/wiki/File:NLC416-12jh004238-48608_%E7%AA%AE%E9%80%9A%E5%AF%B6%E9%91%91%E8%A9%95%E8%A8%BB.pdf,2026-07-18,commons-item-license-live-verification-pending,local_scan_acquired_and_visually_checked,original_plus_commentary,approved_for_secondary_collation_only,"277-page image-only scan; title page names 東海樂吾氏 and 乾乾書社, self-preface is dated 民國二十六年, and visible ending reaches 評註卷六. Original and commentary must be separated."
SRC-SFTK-001,P0,神峰通考,Single unstructured Traditional Chinese page,Wikisource,https://zh.wikisource.org/wiki/%E7%A5%9E%E5%B3%B0%E9%80%9A%E8%80%83,2026-07-18,CC-BY-SA-4.0-site-license-item-public-domain-review-pending,candidate_rejected_no_base,original-compilation,blocked,"Page was created as one large text dump with editorial corrections and no recorded scan basis; locate a cataloged scan before use."
